dateissue,Value
13890301,14117.20
13890302,14080.50
13890303,14115.50
13890304,14184.30
13890305,14153.80
13890308,14119.90
13890309,14087.60
13890310,14038.30
13890311,14109.00
13890312,14182.40
13890316,14164.70
13890317,14135.30
13890318,14148.80
13890319,14055.10
13890322,14114.90
13890323,14180.30
13890324,14288.50
13890325,14394.20
13890326,14372.00
13890329,14340.60
13890330,14280.90
13890331,14257.00
13890401,14350.60
13890402,14489.40
13890406,14503.00
13890407,14500.90
13890408,14545.30
13890409,14552.30
13890412,14561.10
13890413,14504.20
13890414,14553.20
13890415,14571.60
13890416,14718.80
13890420,14883.40
13890421,14981.50
13890422,15005.90
13890423,15080.40
13890426,15118.00
13890427,15189.00
13890428,15244.80
13890429,15344.60
13890430,15360.70
13890502,15455.40
13890503,15660.90
13890504,15746.50
13890506,15794.10
13890509,15840.50
13890510,15870.00
13890511,16078.10
13890512,16281.70
13890513,16317.90
13890516,16606.10
13890517,16625.90
13890518,16674.40
13890519,16841.40
13890520,16995.10
13890523,16864.60
13890524,16701.10
13890525,16766.90
13890526,16910.80
13890527,17009.60
13890530,16974.60
13890531,16957.60
13890601,17116.70
13890602,17152.70
13890603,17233.10
13890606,17401.00
13890607,17767.80
13890608,17938.00
13890609,17955.70
13890613,18315.80
13890614,18636.10
13890615,18648.20
13890616,18458.90
13890617,18429.60
13890621,18533.40
13890622,18533.70
13890623,18543.10
13890624,18555.70
13890627,18657.70
13890628,18487.60
13890629,18303.30
13890630,18413.00
13890631,18548.60
13890703,18673.30
13890704,18527.80
13890705,18405.60
13890706,18535.30
13890707,18671.30
13890710,18790.40
13890711,18762.40
13890713,18749.90
13890714,18871.80
13890717,18937.70
13890718,18642.00
13890719,18564.00
13890720,18283.00
13890721,17902.50
13890724,17973.10
13890725,18111.10
13890726,18343.80
13890727,18292.90
13890728,18229.50
13890801,18324.60
13890802,18163.70
13890803,18035.90
13890804,18006.10
13890805,17956.40
13890808,18034.90
13890809,18011.00
13890810,17972.90
13890811,17960.50
13890812,17976.70
13890815,18089.80
13890816,18015.90
13890817,17969.50
13890818,18038.50
13890819,18113.40
13890822,18044.30
13890823,18042.10
13890824,18035.60
13890825,18021.00
13890829,18062.50
13890830,18133.70
13890901,18257.80
13890902,18226.60
13890903,18289.20
13890906,18427.70
13890907,18404.50
13890908,18284.70
13890909,18242.60
13890910,18280.00
13890913,18292.40
13890914,18319.30
13890915,18291.90
13890916,18317.30
13890917,18371.20
13890920,18460.30
13890921,18443.70
13890922,18414.70
13890923,18414.30
13890927,18366.40
13890928,18203.40
13890929,18249.70
13890930,18353.10
13891001,18398.90
