dateissue,Value
13890917,23066.40
13890920,23197.60
13890921,23179.40
13890922,23144.30
13890923,23145.60
13890927,23056.60
13890928,22851.50
13890929,22906.60
13890930,23025.60
13891001,23132.00
13891004,23390.90
13891005,23635.40
13891006,23594.70
13891007,23703.80
13891008,23832.50
13891011,23824.80
13891012,23899.40
13891013,24039.40
13891014,24224.90
13891015,24403.40
13891018,24503.70
13891019,24772.30
13891020,24792.00
13891021,24908.60
13891022,24893.10
13891025,24850.80
13891026,25079.10
13891027,25214.50
13891028,25312.00
13891029,25728.30
13891102,25911.10
13891103,25957.30
13891104,26030.90
13891106,26205.00
13891109,26362.90
13891110,26279.80
13891111,26452.00
13891112,26888.70
13891116,27491.10
13891117,27526.00
13891118,27695.00
13891119,27609.90
13891120,27681.40
13891123,27784.30
13891124,27941.40
13891125,28092.30
13891126,28114.90
13891127,28013.00
13891130,27835.60
13891201,27360.80
13891203,27257.30
13891204,27291.40
13891207,27505.70
13891208,27548.50
13891209,27123.60
13891210,26869.70
13891211,27172.80
13891214,27394.90
13891215,27593.90
13891216,27582.20
13891217,27696.90
13891218,27734.80
13891221,27515.20
13891222,27648.10
13891223,27950.90
13891224,28168.60
13891225,28577.80
13891228,29178.20
13900106,29801.90
13900107,30526.20
13900108,30637.90
13900109,30903.50
13900110,30866.80
13900114,30956.10
13900115,31521.30
13900116,32203.80
13900117,32690.60
13900120,33111.40
13900121,32835.20
13900122,33044.10
13900123,33362.90
13900124,33367.10
13900127,33464.00
13900128,33035.80
13900129,32957.30
13900130,32697.30
13900131,33092.90
13900203,33228.40
13900204,33038.50
13900205,32641.50
13900206,32677.00
13900207,33177.60
13900210,32380.30
13900211,31609.90
13900212,32159.20
13900213,32561.30
13900214,33004.70
13900218,32768.50
13900219,33358.00
13900220,33779.10
13900221,33867.10
13900224,33890.70
13900225,33737.50
13900226,33553.20
13900227,33564.80
13900228,33792.40
13900231,34070.40
13900301,33983.90
13900302,34002.40
13900303,33731.60
13900304,32998.90
13900307,32684.70
13900308,31809.10
13900309,32173.60
13900310,32526.10
