dateissue,Value
13940617,9927.60
13940618,9921.90
13940621,9892.90
13940622,9813.40
13940623,9809.70
13940624,9748.00
13940625,9729.30
13940628,9715.20
13940629,9599.90
13940630,9518.20
13940631,9549.00
13940701,9585.70
13940704,9577.40
13940705,9583.40
13940706,9605.40
13940707,9604.80
13940708,9573.80
13940711,9504.70
13940712,9475.60
13940713,9489.80
13940714,9451.30
13940715,9466.80
13940718,9457.00
13940719,9456.00
13940720,9495.00
13940721,9545.80
13940722,9625.70
13940725,9739.80
13940726,9766.00
13940727,9733.90
13940728,9713.10
13940729,9690.30
13940803,9643.10
13940804,9631.90
13940805,9640.90
13940806,9644.70
13940809,9655.30
13940810,9684.00
13940811,9691.10
13940812,9695.50
13940813,9723.00
13940816,9713.90
13940817,9699.10
13940818,9718.70
13940819,9728.80
13940820,9748.60
13940823,9780.40
13940824,9825.30
13940825,9827.00
13940826,9804.70
13940827,9816.00
13940830,9825.50
13940901,9816.80
13940902,9801.80
13940903,9785.20
13940904,9776.30
13940907,9768.30
13940908,9756.20
13940909,9749.60
13940910,9724.60
13940914,9728.80
13940915,9679.50
13940916,9642.50
13940917,9631.10
13940918,9638.70
13940922,9624.70
13940923,9610.90
13940924,9625.00
13940925,9612.00
13940928,9515.40
13940929,9459.90
13940930,9445.80
13941001,9445.10
13941002,9467.50
13941005,9485.40
13941006,9560.00
13941007,9596.30
13941009,9651.60
13941012,9682.60
13941013,9743.70
13941014,9843.60
13941015,9994.40
13941016,10086.70
13941019,10078.40
13941020,10087.50
13941021,10197.20
13941022,10225.40
13941023,10275.10
13941026,10423.70
13941027,10397.10
13941028,10310.90
13941029,10472.90
13941030,10598.70
13941103,10761.40
13941104,10935.90
13941105,11112.20
13941106,11408.30
13941107,11413.30
13941110,11393.30
13941111,11383.30
13941112,11612.20
13941113,11807.70
13941114,11900.80
13941117,12102.50
13941118,12324.20
13941119,12562.30
13941120,12901.80
13941121,12865.40
13941124,12699.40
13941125,12648.00
13941126,12838.60
13941127,12828.00
13941128,12903.40
13941201,12882.30
13941202,12752.30
13941203,12863.50
13941204,12793.70
13941205,12745.60
13941208,12844.80
13941209,12804.60
13941210,12811.90
13941211,12831.90
13941212,12833.50
13941215,12913.40
13941216,12945.70
13941217,12937.10
13941218,12894.70
13941219,12919.60
13941222,13020.30
13941224,13140.60
13941225,13191.90
13941226,13356.70
13950107,13450.10
13950108,13462.30
13950109,13473.00
13950110,13470.00
13950111,13598.90
13950114,13600.10
13950115,13538.90
13950116,13624.30
13950117,13739.30
13950118,13801.20
13950121,13802.00
13950122,13813.30
13950123,13850.80
13950124,13819.90
13950125,13652.10
13950128,13375.40
13950129,13266.10
13950130,13443.40
13950131,13430.40
13950201,13421.70
13950204,13459.60
13950205,13535.80
13950206,13617.70
13950207,13621.30
